,Student,Employment,UndergradMajor,DevType,YearsCoding,YearsCodingProf,ConvertedSalary,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,LanguageWorkedWith,Gender,Age,RaceEthnicity
80522,No,"Not employed, but looking for work","A social science (ex. anthropology, psychology, political science)",Back-end developer;Front-end developer;Full-stack developer,0-2 years,0-2 years,55000.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",One to three months,Haskell;JavaScript;Ruby;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
80527,No,"Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Game or graphics developer,30 or more years,30 or more years,28000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,JavaScript;Python;HTML;CSS;Bash/Shell,Male,55 - 64 years old,White or of European descent
80741,No,"Not employed, but looking for work",Mathematics or statistics,Data scientist or machine learning specialist;Engineering manager;Full-stack developer,21-23 years,15-17 years,140000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I haven’t gotten a developer job,C;C++;C#;Matlab;Objective-C;Perl;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
80960,No,Retired,"Another engineering discipline (ex. civil, electrical, mechanical)",System administrator,30 or more years,30 or more years,80521.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Assembly;C;Perl;Bash/Shell,Male,65 years or older,White or of European descent
80964,"Yes, full-time","Not employed, but looking for work","Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;Mobile developer;Student,3-5 years,0-2 years,4050.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Longer than a year,Java,Female,18 - 24 years old,White or of European descent
81054,"Yes, part-time","Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Designer;Educator or academic researcher;Engineering manager;Front-end developer;Game or graphics developer;Student,3-5 years,3-5 years,84.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",One to three months,C;C++;JavaScript;Matlab;Python;HTML;CSS;Bash/Shell,Male,18 - 24 years old,Middle Eastern
81086,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Front-end developer;Full-stack developer;Mobile developer,6-8 years,6-8 years,28176.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;The technology’s online help system",Six months to a year,Assembly;C;Clojure;Java;JavaScript;Objective-C;SQL;Swift;Visual Basic 6;HTML;CSS,Female,25 - 34 years old,East Asian;South Asian
81108,No,Retired,Mathematics or statistics,Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer,30 or more years,30 or more years,36716.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Immediately after graduating,Assembly;C;Java;JavaScript;Python;SQL;Delphi/Object Pascal;Cobol;HTML;CSS;Bash/Shell,Male,65 years or older,White or of European descent
81118,No,"Not employed, but looking for work","A business discipline (ex. accounting, finance, marketing)",Front-end developer,0-2 years,0-2 years,48000.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Immediately after graduating,JavaScript;PHP;Ruby;HTML;CSS;Bash/Shell,Male,25 - 34 years old,Black or of African descent;East Asian;Hispanic or Latino/Latina
81168,"Yes, full-time","Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Designer;Front-end developer;Full-stack developer;Student,3-5 years,0-2 years,3576.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I haven’t gotten a developer job,Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,Male,18 - 24 years old,White or of European descent
81192,No,"Not employed, but looking for work",Mathematics or statistics,Front-end developer,0-2 years,0-2 years,7344.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I haven’t gotten a developer job,JavaScript;Ruby;HTML;CSS,Female,35 - 44 years old,White or of European descent
81199,No,"Not employed, but looking for work","Information systems, information technology, or system administration",Back-end developer;System administrator,15-17 years,9-11 years,43680.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,Hispanic or Latino/Latina
81299,"Yes, full-time","Not employed, but looking for work",Web development or web design,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,9600.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Longer than a year,JavaScript;PHP;SQL;HTML;CSS,Male,18 - 24 years old,Black or of African descent
81376,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Designer;Desktop or enterprise applications developer;Game or graphics developer;Mobile developer,30 or more years,24-26 years,125000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,C#;F#;Java;Objective-C;TypeScript,Male,45 - 54 years old,White or of European descent
81442,No,Retired,"Computer science, computer engineering, or software engineering",Full-stack developer,30 or more years,30 or more years,82000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;VBA;HTML;CSS,Female,55 - 64 years old,White or of European descent
81618,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;System administrator,0-2 years,0-2 years,60000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I haven’t gotten a developer job,JavaScript;Ruby;HTML;CSS,Male,25 - 34 years old,White or of European descent
81635,No,"Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Student,3-5 years,0-2 years,0.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon",The official documentation and/or standards for the technology;A college/university computer science or software engineering book,I haven’t gotten a developer job,Java;JavaScript;Python;Ruby;SQL;HTML;CSS,Male,Under 18 years old,Black or of African descent
81645,No,"Not employed, but looking for work","A business discipline (ex. accounting, finance, marketing)",Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Educator or academic researcher;Embedded applications or devices developer;Game or graphics developer,6-8 years,6-8 years,36720.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;The technology’s online help system",I haven’t gotten a developer job,Python,Male,45 - 54 years old,White or of European descent
81659,No,"Not employed, but looking for work","Fine arts or performing arts (ex. graphic design, music, studio art)",Designer;Front-end developer,0-2 years,0-2 years,20616.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",I haven’t gotten a developer job,JavaScript;PHP;HTML;CSS,Female,25 - 34 years old,White or of European descent
81783,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Front-end developer;Full-stack developer;Product manager,3-5 years,0-2 years,6684.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague;The technology’s online help system",Less than a month,C++;C#;Java;JavaScript;Matlab;PHP;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS,Female,25 - 34 years old,White or of European descent
81800,"Yes, part-time","Not employed, but looking for work","Information systems, information technology, or system administration",Back-end developer;Front-end developer;Student,0-2 years,0-2 years,10620.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",One to three months,JavaScript;Ruby;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
81805,"Yes, part-time","Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Engineering manager;Front-end developer;Student,6-8 years,3-5 years,1272.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Less than a month,Assembly;C;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,Male,18 - 24 years old,Hispanic or Latino/Latina
81870,"Yes, full-time","Not employed, but looking for work","Computer science, computer engineering, or software engineering",Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer;Student,0-2 years,0-2 years,22248.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,C;JavaScript;Python;HTML;CSS,Male,18 - 24 years old,Hispanic or Latino/Latina;White or of European descent
81937,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer,6-8 years,0-2 years,95246.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Four to six months,JavaScript;R;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,Middle Eastern
81967,"Yes, full-time","Not employed, but looking for work",Web development or web design,Desktop or enterprise applications developer,0-2 years,0-2 years,1884.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I haven’t gotten a developer job,C;PHP;SQL;HTML;CSS,Male,18 - 24 years old,South Asian
81972,No,"Not employed, but looking for work",Web development or web design,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;Student;System administrator,0-2 years,0-2 years,10800.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",A college/university computer science or software engineering book;Questions & answers on Stack Overflow,One to three months,C++;C#;Haskell;Java;JavaScript;PHP;SQL;HTML;CSS,Male,25 - 34 years old,Hispanic or Latino/Latina
81978,No,"Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Designer;Game or graphics developer;Mobile developer,18-20 years,6-8 years,0.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,Java;Python;R;HTML;CSS,Male,25 - 34 years old,White or of European descent
81982,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering","Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Designer",30 or more years,30 or more years,17628.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Less than a month,Java;JavaScript;Scala;SQL,Male,55 - 64 years old,White or of European descent
82004,No,"Not employed, but looking for work","A humanities discipline (ex. literature, history, philosophy)",Full-stack developer,0-2 years,0-2 years,0.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",I haven’t gotten a developer job,JavaScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
82070,No,"Not employed, but looking for work","A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Educator or academic researcher;Full-stack developer,3-5 years,3-5 years,92000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology,I haven’t gotten a developer job,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Female,35 - 44 years old,White or of European descent
82124,No,"Not employed, but looking for work","A social science (ex. anthropology, psychology, political science)",Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Mobile developer;QA or test developer,0-2 years,0-2 years,11748.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Four to six months,Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Female,25 - 34 years old,White or of European descent
82133,No,Retired,"Computer science, computer engineering, or software engineering",Back-end developer;Designer;Educator or academic researcher,30 or more years,30 or more years,35448.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;Python;R;SQL,Male,65 years or older,Hispanic or Latino/Latina;White or of European descent
82280,"Yes, full-time","Not employed, and not looking for work","Another engineering discipline (ex. civil, electrical, mechanical)",Full-stack developer,0-2 years,0-2 years,1884.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Less than a month,C;C++;Java;JavaScript;Kotlin;HTML;CSS,Male,18 - 24 years old,South Asian
82631,No,"Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Front-end developer;Full-stack developer,12-14 years,3-5 years,175000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",One to three months,JavaScript;Python;TypeScript;HTML;CSS,Male,25 - 34 years old,Middle Eastern
83104,No,"Not employed, but looking for work",Mathematics or statistics,Designer;Front-end developer;Full-stack developer;Game or graphics developer;Student,0-2 years,0-2 years,35000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Tapping your network of friends, family, and peers versed in the technology",I haven’t gotten a developer job,JavaScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
83188,"Yes, full-time","Not employed, but looking for work","Computer science, computer engineering, or software engineering",Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Student,0-2 years,0-2 years,27500.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;The technology’s online help system",I haven’t gotten a developer job,C#;JavaScript;Lua;Python;HTML;CSS,Male,25 - 34 years old,Hispanic or Latino/Latina;White or of European descent
83579,No,"Not employed, but looking for work","A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,50400.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,I haven’t gotten a developer job,C;JavaScript;Python;HTML;CSS,Male,18 - 24 years old,Black or of African descent;Hispanic or Latino/Latina
83634,No,"Not employed, and not looking for work","Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,30 or more years,30 or more years,120000.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;HTML;CSS,Female,45 - 54 years old,White or of European descent
83729,No,"Not employed, but looking for work","Computer science, computer engineering, or software engineering",Back-end developer,18-20 years,18-20 years,185000.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;PHP;SQL;HTML;Bash/Shell,Male,45 - 54 years old,White or of European descent
83779,No,"Not employed, but looking for work","A humanities discipline (ex. literature, history, philosophy)",Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,0.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague,I haven’t gotten a developer job,JavaScript;SQL;HTML;CSS,Male,18 - 24 years old,White or of European descent
83788,"Yes, full-time","Not employed, but looking for work","Information systems, information technology, or system administration",Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Student,0-2 years,0-2 years,2820.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Immediately after graduating,Assembly;C;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,Male,18 - 24 years old,Middle Eastern
83813,No,Employed part-time,"Computer science, computer engineering, or software engineering",Designer;Front-end developer;Game or graphics developer,0-2 years,0-2 years,12000.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I haven’t gotten a developer job,JavaScript;HTML;CSS,Female,18 - 24 years old,White or of European descent
83853,No,"Not employed, but looking for work","Information systems, information technology, or system administration",Back-end developer;Front-end developer;Full-stack developer,6-8 years,0-2 years,0.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Longer than a year,Java;JavaScript;PHP;Python;HTML;CSS,Male,25 - 34 years old,Black or of African descent
83898,No,"Not employed, but looking for work","A business discipline (ex. accounting, finance, marketing)",Front-end developer,12-14 years,12-14 years,90000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher;Tapping your network of friends, family, and peers versed in the technology",Four to six months,CoffeeScript;Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
